id,,lablel
60942,0,1
60943,0,8
60944,0,1
60945,0,7
60946,0,5
60947,0,5
60948,0,6
60949,0,0
60950,0,2
60951,0,1
60952,0,0
60953,0,5
60954,0,4
60955,0,0
60956,0,0
60957,0,2
60958,0,7
60959,0,5
60960,0,0
60961,0,3
60962,0,5
60963,0,9
60964,0,6
60965,0,8
60966,0,6
60967,0,6
60968,0,4
60969,0,6
60970,0,2
60971,0,9
60972,0,6
60973,0,7
60974,0,7
60975,0,1
60976,0,4
60977,0,2
60978,0,0
60979,0,5
60980,0,0
60981,0,9
60982,0,9
60983,0,8
60984,0,8
60985,0,3
60986,0,6
60987,0,2
60988,0,4
60989,0,6
60990,0,6
60991,0,3
60992,0,2
60993,0,3
60994,0,5
60995,0,4
60996,0,9
60997,0,3
60998,0,4
60999,0,7
61000,0,7
61001,0,6
61002,0,3
61003,0,5
61004,0,5
61005,0,6
61006,0,3
61007,0,5
61008,0,9
61009,0,6
61010,0,3
61011,0,7
61012,0,5
61013,0,1
61014,0,9
61015,0,8
61016,0,8
61017,0,9
61018,0,9
61019,0,2
61020,0,7
61021,0,2
61022,0,2
61023,0,3
61024,0,8
61025,0,7
61026,0,4
61027,0,4
61028,0,5
61029,0,4
61030,0,3
61031,0,6
61032,0,1
61033,0,4
61034,0,9
61035,0,3
61036,0,1
61037,0,6
61038,0,5
61039,0,0
61040,0,5
61041,0,7
61042,0,5
61043,0,2
61044,0,3
61045,0,3
61046,0,9
61047,0,6
61048,0,3
61049,0,6
61050,0,0
61051,0,4
61052,0,9
61053,0,0
61054,0,4
61055,0,9
61056,0,4
61057,0,6
61058,0,3
61059,0,4
61060,0,7
61061,0,0
61062,0,2
61063,0,1
61064,0,1
61065,0,3
61066,0,4
61067,0,6
61068,0,5
61069,0,9
61070,0,0
61071,0,1
61072,0,6
61073,0,5
61074,0,1
61075,0,4
61076,0,4
61077,0,8
61078,0,4
61079,0,7
61080,0,7
61081,0,3
61082,0,8
61083,0,1
61084,0,1
61085,0,9
61086,0,8
61087,0,1
61088,0,3
61089,0,3
61090,0,7
61091,0,5
61092,0,1
61093,0,5
61094,0,7
61095,0,8
61096,0,9
61097,0,6
61098,0,3
61099,0,5
61100,0,8
61101,0,4
61102,0,4
61103,0,3
61104,0,8
61105,0,6
61106,0,5
61107,0,5
61108,0,2
61109,0,7
61110,0,1
61111,0,5
61112,0,3
61113,0,5
61114,0,4
61115,0,8
61116,0,6
61117,0,2
61118,0,1
61119,0,1
61120,0,7
61121,0,9
61122,0,6
61123,0,2
61124,0,7
61125,0,6
61126,0,4
61127,0,8
61128,0,2
61129,0,2
61130,0,6
61131,0,6
61132,0,4
61133,0,4
61134,0,9
61135,0,6
61136,0,8
61137,0,4
61138,0,5
61139,0,9
61140,0,6
61141,0,3
61142,0,9
61143,0,6
61144,0,9
61145,0,8
61146,0,7
61147,0,4
61148,0,4
61149,0,2
61150,0,5
61151,0,3
61152,0,7
61153,0,6
61154,0,7
61155,0,2
61156,0,9
61157,0,3
61158,0,7
61159,0,0
61160,0,9
61161,0,4
61162,0,8
61163,0,4
61164,0,4
61165,0,7
61166,0,2
61167,0,4
61168,0,6
61169,0,2
61170,0,0
61171,0,7
61172,0,8
61173,0,4
61174,0,2
61175,0,4
61176,0,5
61177,0,5
61178,0,6
61179,0,4
61180,0,5
61181,0,5
61182,0,8
61183,0,1
61184,0,1
61185,0,7
61186,0,4
61187,0,6
61188,0,9
61189,0,6
61190,0,8
61191,0,7
61192,0,2
61193,0,2
61194,0,1
61195,0,6
61196,0,7
61197,0,7
61198,0,4
61199,0,9
61200,0,8
61201,0,5
61202,0,1
61203,0,1
61204,0,0
61205,0,2
61206,0,0
61207,0,9
61208,0,0
61209,0,1
61210,0,9
61211,0,3
61212,0,5
61213,0,5
61214,0,2
61215,0,0
61216,0,7
61217,0,0
61218,0,2
61219,0,0
61220,0,1
61221,0,3
61222,0,1
61223,0,3
61224,0,4
61225,0,7
61226,0,2
61227,0,4
61228,0,9
61229,0,5
61230,0,2
61231,0,9
61232,0,6
61233,0,3
61234,0,4
61235,0,4
61236,0,0
61237,0,6
61238,0,5
61239,0,2
61240,0,2
61241,0,5
61242,0,6
61243,0,1
61244,0,4
61245,0,2
61246,0,5
61247,0,4
61248,0,4
61249,0,8
61250,0,0
61251,0,2
61252,0,4
61253,0,0
61254,0,6
61255,0,3
61256,0,6
61257,0,8
61258,0,3
61259,0,8
61260,0,2
61261,0,0
61262,0,4
61263,0,4
61264,0,8
61265,0,8
61266,0,4
61267,0,5
61268,0,2
61269,0,2
61270,0,3
61271,0,6
61272,0,1
61273,0,9
61274,0,0
61275,0,9
61276,0,1
61277,0,9
61278,0,6
61279,0,5
61280,0,2
61281,0,4
61282,0,7
61283,0,3
61284,0,8
61285,0,5
61286,0,0
61287,0,8
61288,0,0
61289,0,7
61290,0,5
61291,0,5
61292,0,9
61293,0,5
61294,0,0
61295,0,0
61296,0,0
61297,0,3
61298,0,4
61299,0,4
61300,0,4
61301,0,5
61302,0,7
61303,0,1
61304,0,3
61305,0,4
61306,0,6
61307,0,6
61308,0,5
61309,0,1
61310,0,6
61311,0,7
61312,0,3
61313,0,4
61314,0,8
61315,0,8
61316,0,2
61317,0,8
61318,0,9
61319,0,4
61320,0,1
61321,0,6
61322,0,5
61323,0,2
61324,0,7
61325,0,8
61326,0,5
61327,0,3
61328,0,8
61329,0,5
61330,0,2
61331,0,2
61332,0,8
61333,0,9
61334,0,8
61335,0,4
61336,0,3
61337,0,3
61338,0,8
61339,0,8
61340,0,3
61341,0,0
61342,0,9
61343,0,4
61344,0,4
61345,0,8
61346,0,1
61347,0,3
61348,0,6
61349,0,1
61350,0,9
61351,0,2
61352,0,1
61353,0,6
61354,0,2
61355,0,7
61356,0,9
61357,0,2
61358,0,6
61359,0,0
61360,0,4
61361,0,4
61362,0,2
61363,0,4
61364,0,5
61365,0,0
61366,0,2
61367,0,8
61368,0,3
61369,0,7
61370,0,6
61371,0,4
61372,0,0
61373,0,0
61374,0,5
61375,0,4
61376,0,8
61377,0,2
61378,0,4
61379,0,3
61380,0,0
61381,0,2
61382,0,1
61383,0,7
61384,0,7
61385,0,5
61386,0,4
61387,0,7
61388,0,2
61389,0,6
61390,0,7
61391,0,3
61392,0,3
61393,0,1
61394,0,3
61395,0,3
61396,0,6
61397,0,0
61398,0,1
61399,0,7
61400,0,6
61401,0,4
61402,0,7
61403,0,1
61404,0,0
61405,0,6
61406,0,5
61407,0,8
61408,0,4
61409,0,6
61410,0,7
61411,0,9
61412,0,5
61413,0,0
61414,0,7
61415,0,9
61416,0,5
61417,0,1
61418,0,2
61419,0,9
61420,0,5
61421,0,5
61422,0,3
61423,0,9
61424,0,9
61425,0,1
61426,0,6
61427,0,7
61428,0,8
61429,0,0
61430,0,1
61431,0,7
61432,0,2
61433,0,7
61434,0,1
61435,0,1
61436,0,5
61437,0,5
61438,0,6
61439,0,4
61440,0,5
61441,0,9
61442,0,5
61443,0,5
61444,0,2
61445,0,3
61446,0,9
61447,0,3
61448,0,8
61449,0,5
61450,0,4
61451,0,0
61452,0,0
61453,0,0
61454,0,5
61455,0,7
61456,0,2
61457,0,5
61458,0,2
61459,0,6
61460,0,4
61461,0,4
61462,0,7
61463,0,6
61464,0,0
61465,0,5
61466,0,1
61467,0,7
61468,0,2
61469,0,3
61470,0,6
61471,0,8
61472,0,7
61473,0,8
61474,0,7
61475,0,1
61476,0,2
61477,0,3
61478,0,2
61479,0,9
61480,0,7
61481,0,5
61482,0,6
61483,0,1
61484,0,0
61485,0,7
61486,0,1
61487,0,2
61488,0,6
61489,0,9
61490,0,3
61491,0,6
61492,0,4
61493,0,4
61494,0,3
61495,0,0
61496,0,0
61497,0,2
61498,0,3
61499,0,6
61500,0,1
61501,0,3
61502,0,7
61503,0,4
61504,0,5
61505,0,3
61506,0,9
61507,0,1
61508,0,1
61509,0,8
61510,0,0
61511,0,9
61512,0,5
61513,0,0
61514,0,7
61515,0,4
61516,0,6
61517,0,7
61518,0,1
61519,0,1
61520,0,5
61521,0,3
61522,0,8
61523,0,7
61524,0,8
61525,0,3
61526,0,8
61527,0,9
61528,0,2
61529,0,2
61530,0,1
61531,0,1
61532,0,3
61533,0,5
61534,0,6
61535,0,7
61536,0,1
61537,0,9
61538,0,9
61539,0,2
61540,0,2
61541,0,7
61542,0,0
61543,0,1
61544,0,3
61545,0,9
61546,0,6
61547,0,3
61548,0,7
61549,0,2
61550,0,8
61551,0,1
61552,0,8
61553,0,0
61554,0,7
61555,0,9
61556,0,8
61557,0,5
61558,0,8
61559,0,2
61560,0,6
61561,0,4
61562,0,0
61563,0,6
61564,0,5
61565,0,8
61566,0,3
61567,0,8
61568,0,7
61569,0,5
61570,0,7
61571,0,3
61572,0,7
61573,0,6
61574,0,7
61575,0,0
61576,0,2
61577,0,2
61578,0,5
61579,0,3
61580,0,5
61581,0,1
61582,0,1
61583,0,7
61584,0,7
61585,0,6
61586,0,3
61587,0,6
61588,0,4
61589,0,2
61590,0,8
61591,0,6
61592,0,3
61593,0,1
61594,0,4
61595,0,9
61596,0,9
61597,0,4
61598,0,5
61599,0,2
61600,0,2
61601,0,7
61602,0,8
61603,0,0
61604,0,7
61605,0,9
61606,0,1
61607,0,2
61608,0,9
61609,0,4
61610,0,7
61611,0,3
61612,0,4
61613,0,3
61614,0,3
61615,0,1
61616,0,8
61617,0,8
61618,0,5
61619,0,3
61620,0,8
61621,0,0
61622,0,3
61623,0,4
61624,0,3
61625,0,6
61626,0,0
61627,0,2
61628,0,7
61629,0,3
61630,0,6
61631,0,8
61632,0,3
61633,0,7
61634,0,7
61635,0,3
61636,0,1
61637,0,7
61638,0,5
61639,0,8
61640,0,8
61641,0,2
61642,0,0
61643,0,0
61644,0,4
61645,0,4
61646,0,8
61647,0,5
61648,0,7
61649,0,0
61650,0,6
61651,0,0
61652,0,7
61653,0,7
61654,0,3
61655,0,9
61656,0,4
61657,0,5
61658,0,9
61659,0,7
61660,0,1
61661,0,7
61662,0,2
61663,0,4
61664,0,5
61665,0,1
61666,0,4
61667,0,5
61668,0,4
61669,0,5
61670,0,0
61671,0,4
61672,0,4
61673,0,1
61674,0,4
61675,0,4
61676,0,8
61677,0,4
61678,0,5
61679,0,9
61680,0,4
61681,0,1
61682,0,1
61683,0,7
61684,0,2
61685,0,3
61686,0,5
61687,0,6
61688,0,3
61689,0,9
61690,0,7
61691,0,5
61692,0,3
61693,0,8
61694,0,8
61695,0,8
61696,0,9
61697,0,1
61698,0,1
61699,0,6
61700,0,3
61701,0,1
61702,0,6
61703,0,3
61704,0,4
61705,0,9
61706,0,9
61707,0,0
61708,0,0
61709,0,6
61710,0,9
61711,0,4
61712,0,9
61713,0,0
61714,0,6
61715,0,1
61716,0,8
61717,0,9
61718,0,2
61719,0,9
61720,0,4
61721,0,8
61722,0,0
61723,0,7
61724,0,2
61725,0,3
61726,0,6
61727,0,2
61728,0,5
61729,0,6
61730,0,1
61731,0,9
61732,0,6
61733,0,2
61734,0,2
61735,0,9
61736,0,9
61737,0,6
61738,0,8
61739,0,3
61740,0,6
61741,0,6
61742,0,6
61743,0,0
61744,0,4
61745,0,2
61746,0,6
61747,0,6
61748,0,5
61749,0,0
61750,0,2
61751,0,7
61752,0,8
61753,0,7
61754,0,4
61755,0,6
61756,0,6
61757,0,6
61758,0,5
61759,0,2
61760,0,4
61761,0,2
61762,0,9
61763,0,5
61764,0,2
61765,0,6
61766,0,7
61767,0,0
61768,0,1
61769,0,9
61770,0,5
61771,0,5
61772,0,0
61773,0,7
61774,0,7
61775,0,5
61776,0,0
61777,0,5
61778,0,0
61779,0,8
61780,0,4
61781,0,7
61782,0,9
61783,0,8
61784,0,2
61785,0,4
61786,0,7
61787,0,3
61788,0,3
61789,0,7
61790,0,7
61791,0,7
61792,0,8
61793,0,4
61794,0,9
61795,0,5
61796,0,7
61797,0,6
61798,0,5
61799,0,7
61800,0,5
61801,0,1
61802,0,3
61803,0,0
61804,0,4
61805,0,9
61806,0,9
61807,0,8
61808,0,3
61809,0,7
61810,0,0
61811,0,4
61812,0,4
61813,0,9
61814,0,3
61815,0,4
61816,0,1
61817,0,7
61818,0,9
61819,0,1
61820,0,5
61821,0,7
61822,0,2
61823,0,7
61824,0,6
61825,0,5
61826,0,5
61827,0,3
61828,0,7
61829,0,5
61830,0,5
61831,0,4
61832,0,0
61833,0,7
61834,0,3
61835,0,3
61836,0,2
61837,0,6
61838,0,2
61839,0,9
61840,0,9
61841,0,0
61842,0,3
61843,0,0
61844,0,8
61845,0,3
61846,0,8
61847,0,8
61848,0,4
61849,0,4
61850,0,1
61851,0,8
61852,0,2
61853,0,3
61854,0,5
61855,0,0
61856,0,4
61857,0,6
61858,0,3
61859,0,0
61860,0,0
61861,0,1
61862,0,0
61863,0,8
61864,0,4
61865,0,9
61866,0,0
61867,0,7
61868,0,6
61869,0,7
61870,0,7
61871,0,1
61872,0,5
61873,0,8
61874,0,7
61875,0,2
61876,0,9
61877,0,9
61878,0,1
61879,0,6
61880,0,4
61881,0,1
61882,0,1
61883,0,1
61884,0,8
61885,0,8
61886,0,1
61887,0,3
61888,0,7
61889,0,5
61890,0,2
61891,0,0
61892,0,8
61893,0,4
61894,0,8
61895,0,9
61896,0,4
61897,0,1
61898,0,3
61899,0,1
61900,0,9
61901,0,8
61902,0,1
61903,0,1
61904,0,1
61905,0,8
61906,0,0
61907,0,9
61908,0,9
61909,0,7
61910,0,6
61911,0,0
61912,0,4
61913,0,2
61914,0,1
61915,0,1
61916,0,7
61917,0,9
61918,0,4
61919,0,2
61920,0,0
61921,0,3
61922,0,6
61923,0,2
61924,0,8
61925,0,1
61926,0,7
61927,0,2
61928,0,4
61929,0,2
61930,0,2
61931,0,3
61932,0,8
61933,0,7
61934,0,1
61935,0,8
61936,0,5
61937,0,5
61938,0,7
61939,0,7
61940,0,6
61941,0,6
61942,0,2
61943,0,9
61944,0,0
61945,0,6
61946,0,3
61947,0,5
61948,0,5
61949,0,0
61950,0,2
61951,0,1
61952,0,0
61953,0,3
61954,0,7
61955,0,7
61956,0,3
61957,0,7
61958,0,2
61959,0,5
61960,0,7
61961,0,9
61962,0,8
61963,0,9
61964,0,1
61965,0,4
61966,0,8
61967,0,3
61968,0,2
61969,0,6
61970,0,6
61971,0,0
61972,0,8
61973,0,3
61974,0,8
61975,0,6
61976,0,8
61977,0,6
61978,0,0
61979,0,8
61980,0,8
61981,0,3
61982,0,2
61983,0,9
61984,0,3
61985,0,2
61986,0,0
61987,0,8
61988,0,5
61989,0,7
61990,0,0
61991,0,1
61992,0,1
61993,0,1
61994,0,9
61995,0,5
61996,0,1
61997,0,3
61998,0,3
